11:29:03  [main] 	Initializing Control Panel
11:29:03  [main] 	Windows Version:  Enterprise  64-bit
11:29:03  [main] 	XAMPP Version: 8.2.0
11:29:03  [main] 	Control Panel Version: 3.3.0  [ Compiled: Apr 6th 2021 ]
11:29:03  [main] 	You are not running with administrator rights! This will work for
11:29:03  [main] 	most application stuff but whenever you do something with services
11:29:03  [main] 	there will be a security dialogue or things will break! So think 
11:29:03  [main] 	about running this application with administrator rights!
11:29:03  [main] 	XAMPP Installation Directory: "d:\xampp\"
11:29:03  [main] 	Checking for prerequisites
11:29:03  [main] 	All prerequisites found
11:29:03  [main] 	Initializing Modules
11:29:03  [main] 	Starting Check-Timer
11:29:03  [main] 	Control Panel Ready
11:29:40  [main] 	Executing "d:\xampp\mysql"
11:30:05  [mysql] 	Attempting to start MySQL app...
11:30:06  [Apache] 	Attempting to start Apache app...
11:30:06  [Apache] 	Status change detected: running
11:30:06  [mysql] 	Status change detected: running
11:31:33  [Apache] 	Attempting to stop Apache (PID: 10776)
11:31:33  [Apache] 	Attempting to stop Apache (PID: 7052)
11:31:33  [Apache] 	Status change detected: stopped
11:31:33  [mysql] 	Attempting to stop MySQL app...
11:31:34  [mysql] 	Status change detected: stopped
12:03:58  [main] 	Deinitializing Modules
12:03:58  [main] 	Deinitializing Control Panel

